identifier	case	otest_types	semantics	profiles	status	normative_syntax	premise	conclusion	rl_corpus	dl_corpus	dl_probe
New-Feature-SelfRestriction-002	new-feature-selfrestriction-002	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL	Approved	FUNCTIONAL;RDFXML	yes	conclusion	outside-rl-profile	graded	graded
New-Feature-TopObjectProperty-001	new-feature-topobjectproperty-001	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL;RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
one=two	one-two	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	withholds-reasoner
owl2-rl-anonymous-individual	owl2-rl-anonymous-individual	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-leftside-allvaluesfrom	owl2-rl-invalid-leftside-allvaluesfrom	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-leftside-maxcard	owl2-rl-invalid-leftside-maxcard	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-oneof	owl2-rl-invalid-oneof	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-owlreal	owl2-rl-invalid-owlreal	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-rightside-somevaluesfrom	owl2-rl-invalid-rightside-somevaluesfrom	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;QL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-rightside-unionof	owl2-rl-invalid-rightside-unionof	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-invalid-unionof	owl2-rl-invalid-unionof	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-rules-fp-differentFrom	owl2-rl-rules-fp-differentfrom	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	conclusion	graded-positive	graded	graded
owl2-rl-rules-ifp-askey	owl2-rl-rules-ifp-askey	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Proposed	RDFXML	yes	conclusion	outside-rl-profile	not-vendored	decides-consistent
owl2-rl-rules-ifp-differentFrom	owl2-rl-rules-ifp-differentfrom	ConsistencyTest;PositiveEntailmentTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	conclusion	graded-positive	not-vendored	decides-consistent
owl2-rl-valid-mincard	owl2-rl-valid-mincard	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	RDFXML	yes	none	not-an-entailment-test	not-vendored	decides-consistent
owl2-rl-valid-oneof	owl2-rl-valid-oneof	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
owl2-rl-valid-rightside-allvaluesfrom	owl2-rl-valid-rightside-allvaluesfrom	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	RL	Approved	RDFXML	yes	none	not-an-entailment-test	graded	graded
Plus and Minus Zero are Distinct	plus-and-minus-zero-are-distinct	InconsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	EL;RL	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
Plus and Minus Zero Integer	plus-and-minus-zero-integer	ConsistencyTest;ProfileIdentificationTest	DIRECT;RDF-BASED	-	Approved	FUNCTIONAL	no	none	not-an-entailment-test	not-vendored	no-rdfxml-premise
